001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"N55711","1733","Cheselden, William,",,,"1688-1752.","Osteographia, or the anatomy of the bones. In fifty-six plates. By William Cheselden. Every bone in the human body is here delineated as large as the life, and again reduced to lesser Scales, in order to shew them united to one another. Likewise the gradual Increase of the Bones, from the first Appearance of Ossification in the Foetus to that of an Adult, their internal Texture, as also the Ligaments of the Joints, and a great Variety of Diseased Bones are here exhibited. This work was executed in a camera obscura contrived on purpose by the author, which renders it more exact and complete than any Thing of the Kind whatever; one View of such Prints shewing more than the fullest and best Description can possibly do. ",,,"London :","[s.n.],","[1733?] ","[2]p.,56 plates :","1⁰. "
"N56041","1735","Stirling, John,",,,"d. 1777.","Catechismus et articuli ecclesiæ Anglicanæ:","or, the catechism and articles of the Church of England. With the following imporvements, in a method intirely [sic] new. ... By John Stirling, ... ",,"London :","printed for the author, and sold by Thomas Astley,","1735. ","[2],60p. ","12⁰. "
"N56056","1717","Marsden, Robert,",,,"1657 or 8-1748.","Remarks upon the Lord Bishop of Bangor's sermon; entituled, The nature of the kingdom, or church, of Christ. Humbly address'd to his lordship. By Robert Marsden, B. D. Archdeacon of Nottingham, and late Fellow of Jesus College in Cambridge. ",,"The second edition.","London :","printed for W. Innys, at the Prince's Arms in St. Paul's Church-Yard,","1717. ","112,[4]p. ","8⁰. "
"N56133","1715","Wynne, John,",,,"1667-1743.","A sermon preached before the Honble House of Lords, on the 29th day of May, 1715.","Being the anniversary of the restoration of King Charles II. By the Right Reverend Father in God, John Lord Bishop of St. Asaph. ",,"London :","printed for Henry Clements at the Half-Moon in St. Paul's-Church-Yard,","1715. ","[2],30p. ","8⁰. "
"N56214","1723",,,,,"An act to confirm certain exchanges, conveyances, and other assurances made by John Jenyns","... and others, of some parts of the estates comprized in the articles and settlement made on his marriage with Dorothy his late wife; ... ",,"[London,",,"1723] ","14p. ","2⁰. "
"N56221","1723",,,,,"An act for confirming and establishing articles of agreement between the most noble John Duke of Montagu,","William Duke of Manchester, and others; upon a marriage intended between the said Duke of Manchester and the Lady Isabella eldest daughter of the Duke of Montagu.",,"[London,",,"1723] ","20p. ","2⁰. "
"N56229","1724",,,,,"An act for vesting in trustees the manors of Hasilton and Turkdean in the county of Glocester,","late the estate of Sir William Banastre Knight, deceased, to be sold for payment of his debts, and for making provisions for his daughters and coheirs, ... ",,"[London :","s.n. ,","1724] ","7,[1]p. ","2⁰. "
"N56235","1725",,,,,"An act to enable Arthur Lord Viscount Irwyn to raise money by mortgage,","or sale of certain estates in the counties of York, Lincoln and Oxon, and City of London, for payment of debts, ... ",,"[London,",,"1725] ","7,[1]p. ","2⁰. "
"N5690","1739","Whiston, William,",,,"1667-1752.","A collection of original texts of Scripture, and testimonies of antiquity that relate to Christian discipline: with notes. As also, an humble and serious address to the clergy, the Bishops, Presbyters, and Deacons of Great-Britain and Ireland, for the Restoration of the same Discipline. By Will. Whiston, M.A. ",,,"London :","printed for the author, and sold by John Whiston , at Boyle's Head in Fleet-Street ; and T. Cooper, at the Globe in Pater-Noster-Row,","MDCCXXXIX. [1739] ","[2],82p. ","8⁰. "
"N572","1719","Sherlock, William,",,,"1641?-1707.","A discourse concerning the happiness of good men,","and the punishment of the wicked, in the next world. Containing the proofs of the immortality of the soul, and immortal life. By William Sherlock, ... ","The third edition.","London :","printed for D. Browne, J. Walthoe, J. Knapton, B. Tooke, R. Robinson, J. Pemberton, and T. Ward,","1719. ","[4],428p. ","8⁰. "
"N5729","1754",,,,,"Admonitions from the dead,","in epistles to the living; addressed by certain spirits of both sexes, to their friends or enemies on earth, ...","The second edition.","London :","printed for R. Baldwin,","1754.","[2],xii,316p. ","12⁰."
"N58193","1739","Whitefield, George,",,,"1714-1770.","A journal of a voyage from London to Savannah in Georgia.","In two parts. Part I. From London to Gibraltar. Part II. From Gibraltar to Savannah. By George Whitefield ... With a short preface, ... ","The fourth edition.","London :","printed for James Hutton,","1739. ","[4],72p. ","12⁰. "
"N5853","1750","Brooke, Henry,",,,"1703?-1783.","A new collection of fairy tales.","None of which were ever before printed. Containing many useful lessons, Moral Sentiments, Surprizing Incidents, and Amusing Adventures. In two volumes. ... ",,"London :","printed for C. Davis in Holbourn, C. Hitch in Pater-Noster-Row, R. Dodsley in Pall Mall, W. Bowyer in White Fryers, and G. Woodfall at Charing-Cross,","MDCCL. [1750] ","2v. ","12⁰. "
"N5896","1768",,,,,"Novum Testamentum","Domini nostri Jesu Christi: interprete Theodoro Beza.",,"Londini :","apud H. Woodfall; J. & F. Rivington; J. Buckland; R. Baldwin; G. Keith; [and 8 others in London],","1768.","347,[1]p. ","12⁰."
"N59019","1732",,,,,"A bill for the better securing and encouraging the trade of His Majesty's sugar colonies in America. ",,,"[London,",,"1732] ","7,[1]p. ","2⁰. "
"N603","1751","Rousseau, Jean-Jacques,",,,"1712-1778.","The discourse which carried the præmium at the Academy of Dijon, in MDCCL.","On this question, propos'd by the said Academy, whether the re-establishment of arts and sciences has contributed to the refining of manners. By a citizen of Geneva. Translated from the French original.",,"London :","printed for W. Owen,","1751.","xii,9-59,[1]p. ","8⁰."
"N60471","1774","Middleton, Conyers,",,,"1683-1750.","The origin of printing:","in two essays: I. The substance of Dr. Middleton's Dissertation on the origin of printing in England. II. Mr. Meerman's account of the first invention of the art. An appendix is annexed, 1. On the first-printed Greek books. 2. On the first-printed Hebrew books, ... 3. On the early polyglotts.",,"London :","printed for W. Bowyer and J. Nichols,","1774.","xvi,144,[2],vii,[1],145-183,[1]p. ","8⁰."
"N60677","1756","Burgh, James,",,,"1714-1775.","Youth's friendly monitor:","being a set of directions, prudential, moral, religious, and scientific. ... Together with Theophilus, a character worthy of imitation. By the author of Britain's remembrancer, ...",,"London :","printed for M. Cooper,","1756.","[2],xii,82p. ","8⁰."
"N6071","1733","Thou, Jacques Auguste de,",,,"1553-1617.","Proposals by Sam. Buckley, for printing by subscription a new edition of Jac. Aug. Thuani Historiarum sui temporis,","ab anno Domini 1546 usque ad annum 1607, libri 138. ... In seven volumes in folio. ",,"[London,",,"1733?] ","[2]p. ","1/2⁰. "
"N6092","1759","Lewis, R.",,"(Robert).",,"The adventures of a rake.","In the character of a public orator. Interspersed with several serious and comic pieces, ... In two volumes. By R. Lewis. ...",,"London :","printed for R. Withy; T. Hope; and J. Pridden,","1759.","2v. ","12⁰."
"N61142","1777","Bowyer, William,",,,"1699-1777.","I William Bowyer, printer, citizen, and stationer, of London,","being mercifully warned by the decays of age, and by the loss of almost all my friends, ...",,"[London,",,"1777]","4p. ","8⁰."
"N61398","1744","Berkeley, George,",,,"1685-1753.","A letter to T----- P----, Esq; from the author of Siris.","Containing some farther remarks on the virtues of tar-water, and the methods for preparing and using of it. To which is added, an answer to a supposed physician's letter to ... the bishop of Cloyne, occasioned by his Lordship's treatise on the virtues of tar-water.",,"[London] :","Dublin printed, London re-printed, for M. Cooper,","1744.","[4],28p. ","8⁰."
"N61434","1741","Anstruther, Philip,","Sir,",,"d. 1760.","Major General Philip Anstruther, petitioner. The Honourable John Stewart, Esq; sitting member. The petitioner's case. ",,,"[London?,",,"1741] ","3,[1]p. ","4⁰. "
"N62222","1730","Long, Roger,",,,"1680-1770.","Proposals for printing by subscription, A system of astronomy:","wherein the knowledge of the heavenly bodies is made easy... By Roger Long, ... Subscriptions are taken in, in town, by ... Mr. Fayram, ... Mr. Innys, .... Mr. Senex, .... Mr. Prevost, ... At Oxford, by Mr. Clements: ... At Cambridge, by the author; ... ",,"[London,",,"1730] ","[4],48p.,fold. plates ","4⁰. "
"N6240","1726","Marcus Aurelius,","Emperor of Rome,",,"121-180.","The emperor Marcus Antoninus his conversation with himself:","together with the preliminary discourse of the learned Gataker. As also, the Emperor's life; written by Monsieur Dacier, and Supported by the Authorities collected by Dr. Stanhope. To which is added the mythological picture of Cebes the Theban, &c. Translated into English from the respective originals, by Jeremy Collier, M.A. ","The third edition, corrected.","London :","printed for J. Darby, A. Bettesworth, F. Fayram, J. Pemberton, R. Williamson, J Hooke, C. Rivington, F. Clay, J. Batley, and E. Symon,","M.DCC.XXVI. [1726] ","[8],331,[3]p.,plate :","8⁰. "
"N62759","1743",,,,,"Original letters and papers of state, addressed to Oliver Cromwell","concerning the affairs of Great Britain. From the year MDCXLIX to MDCLVIII. Found among the political collections of Mr. John Milton. Now first published from the originals. By John Nickolls, jun. ... ",,"London :","printed by William Bowyer, and sold by John Whiston,","1743. ","iv,iv,164,[8]p. ","2⁰. "
"N62778","1736","Pope, Alexander,",,,"1688-1744.","Seven select pieces written by Mr. Pope,","viz. I. An essay on criticism. II. An ode in praise of musick. III. Windsor forest. IV. Eloisa to Abelard. V. The temple of fame. VI. Messiah. ... VII. Elegy on an unfortunate lady. Adorned with cuts. ",,"London :","printed for E. Curll,","1736. ","[2],48;63,[1];[2],12;3-52;58,[6]p.,plate :","8⁰. "
"N62918","1767","Lyttelton, George Lyttelton,","Baron,",,"1709-1773.","Notes to the second and third books of The history of the life of King Henry the Second.","With an appendix to each. By George Lord Lyttelton.",,"London :","printed for W. Sandby and J. Dodsley,","1767.","[2],260,[1],544-578p. ","4⁰."
"N6304","1735","Vanbrugh, John,","Sir,",,"1664-1726.","Esop; a comedy.","As it is acted at the Theatre-Royal in Drury Lane. ",,"London :","printed for W. Feales , at Rowe's Head, the Corner of Essex-Street in the Strand ; A. Bettesworth , in Pater-Noster Row ; F. Clay, at the Bible, R. Wellington, at the Dolphin and Crown, and C. Corbett , at Addison's Head, all without Temple-Barr ; and J. Brindley, at the King's Arms in New-Bond-Street,","MDCCXXXV. [1735] ","106p.,plate ","12⁰. "
"N63047","1739","Whitefield, George,",,,"1714-1770.","An account of money, receiv'd and expended by the Rev. Mr. Whitefield, for the poor of Georgia. ",,,"[London? :","printed by William Bowyer,","1739] ","23,[1] p. ","8⁰. "
"N63086","1747",,,,,"Dissenting piety.",,,"[London] :","Sold at the picture shop, in May's-buildings, near Covent-Garden, and by all the print and pamphlet shops in town and country,","[1747?]","1 sheet :","1/2⁰."
"N63736","1734","Shakespeare, William,",,,"1564-1616.","Antony and Cleopatra.","A tragedy. By Mr. William Shakespear. ",,"London :","printed for J. Tonson, and the rest of the proprietors; and sold by the booksellers of London and Westminster,","1734. ","95,[1]p.,plate ","12⁰. "
"N63817","1764","Nichols, John,",,,"1745-1826.","The buds of Parnassus:","a collection of original poems· Containing, An ode to scandal. ... The second edition. To which are now prefixed, by desire, An epistle to the Prince of Brunswick. ...",,"London :","printed for J. Wilkie,","1764.","x,5-23,[1]p. ","4⁰."
"N64328","1763","Brown, John,",,,"1715-1766.","A dissertation on the rise, union, and power, the progressions, separations, and corruptions, of poetry and music. To which is prefixed, the cure of Saul. A sacred ode. Written by Dr. Brown.",,"The second edition.","London :","printed for J. Murray,","1773","244[i.e.248],[2]p. ","4⁰."
"N64581","1738","Whitefield, George,",,,"1714-1770.","The benefits of an early piety.","A sermon preached at Bow Church, London, before the religious societies, at one of their quarterly meetings, on Wednesday, Sept. 28. 1737. By George Whitefield, ... ","The third edition.","London :","printed for C. Rivington; and James Hutton: and sold by Mess. Harris, sen. and jun. in Glocester; Mr. Wilson at Bristol; and Mr. Leake in Bath,","1738. ","16p. ","8⁰. "
"N64824","1748","Culpepper, Nathanael,",,,"17th/18th cent.","The family almanack,","for the year of our Lord 1748. ... To which is added, a physical directory, ... By Nathanael Culpepper, ... Imprimatur, J. T.",,"London :","printed by G. Woodfall, for the Company of Stationers,","[1748]","[16],24p. ","8⁰."
"N6502","1710","Whitby, Daniel,",,,"1638-1726.","Examen variantium lectionum Johannis Millii, S.T.P. in Novum Testamentum. ... Opera & studio Danielis Whitby, ... ",,,"Londini :","typis Guil. Bowyer, impensis vero A. & J. Churchill,","1710. ","xii,100p. ","2⁰. "
"N65062","1715","Fiddes, Richard,",,,"1671-1725.","A preparative to the Lord's Supper.","Or, a discourse, wherein the nature of this Holy Sacrament, ... To which is added, an appendix; with meditations and prayers form'd on the principal parts of the discourse; ... By R. Fiddes, ... ",,"London :","printed for Bernard Lintott,","1715. ","[12],142,[2]p. ","12⁰. "
